num,dat,guy
0174,2005.07.23,Kris Wilson
0175,2005.07.27,Kris Wilson
0176,2005.07.26,Matt Melvin
0177,2005.07.25,Rob DenBleyker
0178,2005.07.28,Kris Wilson
0179,2005.07.29,Matt Melvin
0180,2005.07.30,Matt Melvin
0181,2005.07.31,Rob DenBleyker
0182,2005.08.01,Matt Melvin
0183,2005.08.02,Rob DenBleyker
0184,2005.08.03,Dave McElfatrick
0185,2005.08.04,Matt Melvin
0186,2005.08.05,Rob DenBleyker
0187,2005.08.06,Kris Wilson
0188,2005.08.07,Kris Wilson
0189,2005.08.08,Dave McElfatrick
0190,2005.08.09,Kris Wilson
0191,2005.08.10,Rob DenBleyker
0192,2005.08.11,Rob DenBleyker
0193,2005.08.13,Rob DenBleyker
0194,2005.08.12,Kris Wilson
0195,2005.08.14,Kris Wilson
0196,2005.08.15,Rob DenBleyker
0197,2005.08.16,Kris Wilson
0198,2005.08.17,Rob DenBleyker
0199,2005.08.18,Rob DenBleyker
0200,2005.08.19,Kris Wilson
0201,2005.08.20,Kris Wilson
0202,2005.08.21,Kris Wilson
0203,2005.08.22,Dave McElfatrick
0204,2005.08.23,Dave McElfatrick
0205,2005.08.24,Rob DenBleyker
0206,2005.08.25,Dave McElfatrick
0207,2005.08.27,Dave McElfatrick
0208,2005.08.26,Rob DenBleyker
0209,2005.08.29,Rob DenBleyker
0210,2005.08.30,Matt Melvin
0211,2005.08.28,Kris Wilson
0212,2005.08.31,Rob DenBleyker
0213,2005.09.01,Matt Melvin
0214,2005.09.02,Kris Wilson
0215,2005.09.04,Rob DenBleyker
0216,2005.09.06,NA
0217,2005.09.07,Kris Wilson
0218,2005.09.08,Rob DenBleyker
0219,2005.09.09,Rob DenBleyker
0220,2005.09.10,Dave McElfatrick
0221,2005.09.11,Matt Melvin
0222,2005.09.12,Rob DenBleyker
0223,2005.09.13,Kris Wilson
0224,2005.09.14,Rob DenBleyker
0225,2005.09.15,Dave McElfatrick
0226,2005.09.16,Rob DenBleyker
0227,2005.09.17,Kris Wilson
0228,2005.09.18,Matt Melvin
0229,2005.09.19,Rob DenBleyker
0230,2005.09.20,Rob DenBleyker
0231,2005.09.21,Rob DenBleyker
0232,2005.09.22,Kris Wilson
0233,2005.09.23,Matt Melvin
0234,2005.09.24,Dave McElfatrick
0235,2005.09.25,NA
0236,2005.09.26,NA
0237,2005.09.27,NA
0238,2005.09.28,NA
0239,2005.09.29,NA
0240,2005.09.30,NA
0241,2005.10.01,NA
0242,2005.10.02,NA
0243,2005.10.03,NA
0244,2005.10.04,NA
0245,2005.10.05,NA
0246,2005.10.06,NA
0247,2005.10.07,NA
0248,2005.10.08,NA
0249,2005.10.09,Rob DenBleyker
0250,2005.10.10,Matt Melvin
0251,2005.10.11,Kris Wilson
0252,2005.10.12,Kris Wilson
0253,2005.10.13,Matt Melvin
0254,2005.10.14,Rob DenBleyker
0255,2005.10.16,Rob DenBleyker
0256,2005.10.17,Rob DenBleyker
0257,2005.10.18,Rob DenBleyker
0258,2005.10.19,Kris Wilson
0259,2005.10.20,Rob DenBleyker
0260,2005.10.22,Rob DenBleyker
0261,2005.10.24,Matt Melvin
0262,2005.10.26,Rob DenBleyker
0263,2005.10.27,Rob DenBleyker
0264,2005.10.29,Rob DenBleyker
0265,2005.10.25,Kris Wilson
0266,2005.10.30,Rob DenBleyker
0267,2005.10.28,Kris Wilson
0268,2005.10.31,Rob DenBleyker
0269,2005.11.01,Kris Wilson
0270,2005.11.02,Rob DenBleyker
0271,2005.11.03,Dave McElfatrick
0272,2005.11.04,Dave McElfatrick
0273,2005.11.07,Rob DenBleyker
0274,2005.11.08,Rob DenBleyker
0275,2005.11.10,Matt Melvin
0276,2005.11.11,Kris Wilson
0277,2005.11.13,Rob DenBleyker
0278,2005.11.14,Kris Wilson
0279,2005.11.17,Rob DenBleyker
0280,2005.11.18,Kris Wilson
0281,2005.11.20,Kris Wilson
0282,2005.11.21,Rob DenBleyker
0283,2005.11.30,Kris Wilson
0284,2005.12.02,Kris Wilson
0285,2005.12.01,Rob DenBleyker
0286,2005.12.05,Rob DenBleyker
0287,2005.12.06,Matt Melvin
0288,2005.12.07,Kris Wilson
0289,2005.12.09,Matt Melvin
0290,2005.12.15,Kris Wilson
0291,2005.12.16,Matt Melvin
0292,2005.12.19,Kris Wilson
0293,2005.12.21,Matt Melvin
0294,2005.12.23,Kris Wilson
0295,2006.01.01,Rob DenBleyker
0296,2006.01.02,Dave McElfatrick
0297,2006.01.03,Rob DenBleyker
0298,2006.01.04,Kris Wilson
0299,2006.01.05,Matt Melvin
0300,2006.01.06,Dave McElfatrick
0301,2006.01.08,Kris Wilson
0302,2006.01.07,Rob DenBleyker
0303,2006.01.09,Dave McElfatrick
0304,2006.01.10,Dave McElfatrick
0305,2006.01.11,Dave McElfatrick
0306,2006.01.12,Kris Wilson
0307,2006.01.13,Dave McElfatrick
0308,2006.01.15,Dave McElfatrick
0309,2006.01.14,Matt Melvin
0310,2006.01.16,Rob DenBleyker
0311,2006.01.17,Rob DenBleyker
0312,2006.01.19,Matt Melvin
0313,2006.01.18,Rob DenBleyker
0314,2006.01.20,Kris Wilson
0315,2006.01.21,Rob DenBleyker
0316,2006.01.22,Rob DenBleyker
